itemId,item,block
gen_01,טורניר היורו הבא יתקיים בקיץ 2024. מה הסיכוי שנבחרת גרמניה תהיה המנצחת בו?,general
gen_02,חשבו על מחירי דירות 3 חדרים בירושלים ובתל אביב. מה הסיכוי שדירה שנבחרה באקראי בירושלים תהיה יקרה יותר מדירה בנבחרה באקראי בתל אביב?,general
gen_03,מה הסיכוי שמכתש רמון גדול יותר בשטחו מהכנרת?,general
gen_04,חשבו על מזג האוויר בבית שאן ובערד. מה הסיכוי שהטמפרטורה המקסימלית שתמדד בבית שאן ב-1 באוגוסט תהיה גבוהה מבערד?,general
gen_05,מה הסיכוי שהאוקיינוס האטלנטי גדול יותר בשטחו מהאוקיינוס ההודי?,general
gen_06,"משקיע קונה היום 100 ש״ח במניות אפל, ו-100 ש״ח במניות מייקרוסופט. הוא מתכוון למכור את המניות בעוד שנתיים בדיוק. מה הסיכוי שירוויח יותר ממניית מייקרוסופט מאשר מניית אפל?",general
gen_07,"מה הסיכוי שאוכלוסיית איסטנבול, בטורקיה, גדולה מזו של שנגחאי, בסין?",general
gen_08,"שני אחים יוצאים באותו הזמן ממרכזית חוף הכרמל מחיפה לתחנת סבידור מרכז בתל אביב. אחד נוסע באוטובוס, ואחד ברכבת. מה הסיכוי שהאח הנוסע ברכבת יגיע ראשון?",general
gen_09,מה הסיכוי שישראל וערב הסעודית יחתמו על הסכם שלום ב-10 השנים הבאות?,general
gen_10,שלומית מבקשת לקנות כרטיס טיסה לחופשה בעשרה ימים הראשון של יולי. מה הסיכוי שמחירי הטיסות למדריד בתקופה זו זולים יותר ממחירי הטיסות לפריז?,general
gen_11,מה הסיכוי שירד גשם בבאר שבע במהלך חודש אוגוסט הקרוב?,general
gen_12,מה הסיכוי שיגיעו מדוזות לחופי ישראל בקיץ הקרוב?,general
co_01,מה הסיכוי שבשנתיים הקרובות יבוטל משפטו של ראש הממשלה נתניהו?,coup
co_02,חשבו על יוזמי הרפורמה המשפטית השר יריב לוין וח״כ שמחה רוטמן. מה הסיכוי שיריב לוין כתב יותר משפטים בהצעות החקיקה של הרפורמה מאשר שמחה רוטמן?,coup
co_03,מה הסיכוי שהיועצת המשפטית לממשלה גלי בהרב-מיארה תפוטר לפני שתסיים את כהונתה?,coup
co_04,חשבו על עמדת הנשיא יצחק הרצוג. מה הסיכוי שהוא מעדיף רפורמה כלשהי על המצב הקיים?,coup
co_05,חשבו על שער הדולר. מה הסיכוי שבעקבות המשבר הפוליטי השקל ייחלש עד כדי כך ששער הדולר יעמוד על 4 ש״ח?,coup
co_06,מה הסיכוי שאף אחד מהחוקים המרכיבים את הרפורמה המשפטית לא יעבור סופית בכנסת?,coup
co_07,מה הסיכוי שמישהו יהרג באחת ההפגנות נגד הרפורמה המשפטית?,coup
co_08,חשבו על ראש הממשלה נתניהו כשנבחר ב-2009. מה הסיכוי שהיה תומך אז ברפורמה כפי שהיא מקודמת היום?,coup
co_09,מה הסיכוי שהמשבר הפוליטי ישפיע לרעה באופן מהותי על מוכנות צה״ל ללחימה?,coup
co_10,מה הסיכוי שבעקבות הרפורמה המשפטית הממשלה תתיר הפרדה בין גברים לנשים בישיבה באוטובוסים?,coup
co_11,מה הסיכוי שבבחירות הבאות המפלגה הגדולה ביותר תהיה מפלגת העבודה?,coup
co_12,מה הסיכוי שביבי יהיה ראש הממשלה מחר?,coup